Year,gprice,sprice,status
2022,52950,55100,1
2021,50045,62572,1
2020,48651,63435,1
2019,35220,40600,1
2018,31438,41400,1
2017,29667,37825,1
2016,28623,36990,0
2015,26343,37825,1
2014,28006,43070,1
2013,29600,54030,0
2012,31050,56290,0
2011,26400,56900,0
2010,18500,27255,0
2009,14500,22165,0
2008,12500,23625,0
2007,10800,19520,1
2006,8400,17405,1
2005,7000,10675,0
2004,5850,11770,1
2003,5600,7695,1
2002,4990,7875,0
2001,4300,7215,1
2000,4400,7900,1
1999,4234,7615,1
1998,4045,8560,1
1997,4725,7345,1
1996,5160,7346,0
1995,4680,6335,1
1994,4598,7124,0
1993,4140,5489,0
1992,4334,8040,0
1991,3466,6646,1
1990,3200,6463,1
1989,3140,6755,1
1988,3130,6066,1
1987,2570,4794,0
1986,2140,4015,0
1985,2130,3955,1
1984,1970,3570,0
1983,1800,3105,0
1982,1645,2720,0
1981,1800,2715,1
